Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-3,62.254.85.22,-100,192.168.213.90,44.0
-100,192.168.213.90,-100,192.168.36.15,307.66
-100,192.168.36.15,-100,192.168.34.181,271.0
-100,192.168.34.181,-100,192.168.48.8,163.0
-100,192.168.48.8,-100,192.168.48.2,40.00000000000003
-100,192.168.48.2,-100,192.168.48.49,95.00000000000003
-100,192.168.48.49,9498,182.79.27.25,115.0
9498,182.79.27.25,9498,116.119.68.223,46.67
9498,116.119.68.223,1299,62.115.142.128,366.0
1299,62.115.142.128,1299,62.115.137.36,18.0
1299,62.115.137.36,6830,84.116.134.197,31.66999999999996
6830,84.116.134.197,6830,84.116.135.50,172.66000000000003
6830,84.116.135.50,6830,84.116.135.50,553.0
6830,84.116.135.50,5089,62.253.174.98,430.0
5089,62.253.174.98,5089,62.254.85.22,479.33000000000004
5089,-7,5089,213.105.9.24,416.33000000000004
-4,213.105.9.24,36236,199.38.181.1,22.02
36236,199.38.181.1,3257,89.149.181.186,21.03
3257,89.149.181.186,3257,173.241.130.198,4.0
3257,173.241.130.198,6830,84.116.133.98,81.84
6830,84.116.133.98,6830,84.116.130.242,0.1700000000000017
6830,84.116.130.242,5089,62.253.174.78,262.28999999999996
5089,62.253.174.78,5089,62.254.85.18,6.050000000000011
5089,-7,5089,213.105.9.24,260.83
-5,213.105.9.24,6453,116.0.79.129,271.0
6453,116.0.79.129,6453,180.87.181.92,4.0
6453,180.87.181.92,6453,180.87.181.73,235.0
6453,180.87.181.73,6453,180.87.180.1,222.0
6453,180.87.180.1,6453,180.87.181.27,221.0
6453,180.87.181.27,6453,120.29.211.2,1.0
6453,120.29.211.2,6453,209.58.86.144,239.0
6453,209.58.86.144,6453,63.243.205.72,18.0
6453,63.243.205.72,6453,63.243.128.30,23.0
6453,63.243.128.30,6453,63.243.205.187,1.0
6453,63.243.205.187,6453,63.243.128.30,2.0
6453,63.243.128.30,6453,63.243.128.18,1.0
6453,-7,6453,63.243.216.23,10.0
-1,0,-100,172.22.96.1,0.43
-100,172.22.96.1,-100,192.168.1.1,7.38
-100,192.168.1.1,-100,192.168.41.1,4.069999999999999
-100,192.168.41.1,-100,192.168.8.18,1.7400000000000002
-100,192.168.8.18,59193,103.232.241.2,0.8700000000000001
59193,103.232.241.2,-100,10.119.254.121,0.33000000000000007
-100,10.119.254.121,-100,10.160.24.5,18.38
-100,10.160.24.5,-100,10.255.232.201,1.9299999999999997
-100,10.255.232.201,55824,180.149.48.18,0.08000000000000185
55824,180.149.48.18,55824,180.149.48.2,140.51
55824,180.149.48.2,55824,180.149.48.29,23.700000000000017
55824,180.149.48.29,20965,62.40.125.214,1.7900000000000205
20965,62.40.125.214,20965,62.40.98.239,2.25
20965,62.40.98.239,20965,62.40.98.106,1.0699999999999932
20965,62.40.98.106,20965,62.40.98.64,1.6499999999999773
20965,62.40.98.64,20965,62.40.124.198,0.45000000000001705
20965,62.40.124.198,786,146.97.33.18,5.189999999999998
786,146.97.33.18,786,146.97.35.246,40.110000000000014
786,146.97.35.246,786,146.97.41.38,39.91
786,146.97.41.38,786,131.111.6.182,0.17000000000001592
786,131.111.6.182,786,193.60.88.6,2.490000000000009
786,193.60.88.6,786,193.60.88.6,14.139999999999986
786,193.60.88.6,786,128.232.128.6,16.069999999999993
786,128.232.128.6,786,128.232.128.10,1.1400000000000148
786,-8,786,128.232.132.8,0.5999999999999943
-2,128.232.132.8,2914,129.250.3.101,1.0
2914,129.250.3.101,2914,129.250.2.151,4.0
2914,129.250.2.151,3356,4.68.111.113,1.0
3356,4.68.111.113,3356,212.187.216.238,6.0
3356,212.187.216.238,786,146.97.35.193,20.0
786,146.97.35.193,786,146.97.33.62,21.0
786,146.97.33.62,786,146.97.33.29,19.0
786,146.97.33.29,786,146.97.35.246,17.0
786,146.97.35.246,786,146.97.41.38,2.0
786,146.97.41.38,786,131.111.6.182,38.0
786,131.111.6.182,786,193.60.88.6,36.0
786,193.60.88.6,786,193.60.88.6,1.0
786,-8,786,128.232.128.6,0.0
-3,128.232.128.6,-100,192.168.213.90,15.66
-100,192.168.213.90,-100,192.168.36.15,178.34
-100,192.168.36.15,-100,192.168.34.177,116.34
-100,192.168.34.177,-100,192.168.48.6,2.0
-100,192.168.48.6,-100,192.168.48.2,20.659999999999997
-100,192.168.48.2,-100,192.168.48.33,2.0
-100,192.168.48.33,9498,125.18.92.93,5.0
9498,125.18.92.93,6461,94.31.40.4,133.0
6461,94.31.40.4,6461,64.125.27.14,5.0
6461,64.125.27.14,6461,64.125.29.84,42.0
6461,64.125.29.84,6461,64.125.22.65,24.660000000000025
6461,64.125.22.65,-100,195.66.224.15,63.660000000000025
-100,195.66.224.15,786,146.97.35.169,24.659999999999997
786,146.97.35.169,786,146.97.33.62,32.0
786,146.97.33.62,786,146.97.33.29,159.00000000000003
786,146.97.33.29,786,146.97.35.246,140.66000000000003
786,146.97.35.246,786,146.97.41.38,35.66
786,146.97.41.38,786,131.111.6.182,55.00000000000003
786,131.111.6.182,786,193.60.88.6,1.0
786,193.60.88.6,786,193.60.88.6,58.00000000000003
786,193.60.88.6,786,128.232.128.6,69.34
786,128.232.128.6,786,128.232.128.10,181.66000000000003
786,-8,786,128.232.132.8,135.0
-4,128.232.132.8,36236,199.38.181.1,12.58
36236,199.38.181.1,3356,4.68.75.77,7.69
3356,4.68.75.77,3356,4.69.143.198,63.31
3356,4.69.143.198,3356,212.187.216.238,2.0600000000000023
3356,212.187.216.238,786,146.97.35.193,1.8599999999999994
786,146.97.35.193,786,146.97.33.62,3.280000000000001
786,146.97.33.62,786,146.97.33.29,1.9599999999999937
786,146.97.33.29,786,146.97.35.246,0.20000000000000284
786,146.97.35.246,786,146.97.41.38,0.23000000000000398
786,146.97.41.38,786,131.111.6.182,1.9500000000000028
786,131.111.6.182,786,193.60.88.6,0.7000000000000028
786,193.60.88.6,786,193.60.88.6,0.6599999999999966
786,193.60.88.6,786,128.232.128.6,0.4100000000000108
786,128.232.128.6,786,128.232.128.10,0.030000000000001137
786,-8,786,128.232.132.8,1.8299999999999983
-5,128.232.132.8,6453,116.0.79.129,148.0
6453,116.0.79.129,6453,180.87.181.92,1.0
6453,180.87.181.92,786,146.97.33.62,125.0
786,146.97.33.62,786,146.97.33.29,9.0
786,146.97.33.29,786,146.97.35.246,2.0
786,146.97.35.246,786,146.97.41.38,3.0
786,146.97.41.38,786,131.111.6.182,1.0
786,131.111.6.182,786,193.60.88.6,3.0
786,193.60.88.6,786,193.60.88.6,5.0
786,-8,786,128.232.128.6,5.0
-1,0,-100,172.22.96.1,0.39
-100,172.22.96.1,-100,192.168.1.1,3.8799999999999994
-100,192.168.1.1,-100,192.168.41.1,2.5700000000000003
-100,192.168.41.1,59193,103.232.241.2,3.3699999999999997
59193,103.232.241.2,-100,10.119.254.121,52.59
-100,10.119.254.121,-100,10.160.24.5,51.18
-100,10.160.24.5,-100,10.255.221.33,1.2599999999999998
-100,10.255.221.33,55836,115.247.100.29,52.83
55836,115.247.100.29,3356,4.69.217.18,57.18000000000001
3356,4.69.217.18,3356,8.244.128.126,0.6700000000000017
3356,8.244.128.126,2519,163.139.130.222,2.3699999999999903
2519,163.139.130.222,2519,222.230.187.198,4.739999999999995
2519,-9,4694,202.218.128.200,99.32000000000001
-2,202.218.128.200,2914,129.250.6.6,91.0
2914,129.250.6.6,2914,129.250.6.237,57.0
2914,129.250.6.237,2914,129.250.2.159,7.0
2914,129.250.2.159,2914,168.143.229.22,0.0
2914,168.143.229.22,2497,58.138.88.81,95.0
2497,58.138.88.81,2497,58.138.101.34,8.0
2497,58.138.101.34,2497,210.130.134.118,7.0
2497,210.130.134.118,2519,163.139.130.218,4.0
2519,163.139.130.218,2519,222.230.187.198,9.0
2519,-9,4694,202.218.128.200,5.0
-3,202.218.128.200,-100,192.168.213.90,58.33
-100,192.168.213.90,-100,192.168.36.15,143.67000000000002
-100,192.168.36.15,-100,192.168.34.177,49.0
-100,192.168.34.177,-100,192.168.48.6,31.0
-100,192.168.48.6,-100,192.168.48.2,11.0
-100,192.168.48.2,-100,192.168.48.33,41.34
-100,192.168.48.33,9498,125.18.92.93,9.0
9498,125.18.92.93,9498,116.119.119.208,17.340000000000003
9498,116.119.119.208,3356,4.68.70.113,94.34
3356,4.68.70.113,3356,4.69.217.18,289.66999999999996
3356,4.69.217.18,3549,113.29.1.138,26.66999999999996
3549,113.29.1.138,2519,163.139.130.222,157.00000000000003
2519,163.139.130.222,2519,222.230.187.198,98.00000000000003
2519,-9,4694,202.218.128.200,7.669999999999959
-4,202.218.128.200,36236,199.38.181.1,111.28
36236,199.38.181.1,174,154.54.81.201,110.09
174,154.54.81.201,174,154.54.80.1,0.08999999999999986
174,154.54.80.1,174,154.54.82.245,171.31
174,154.54.82.245,174,154.54.7.129,0.020000000000010232
174,154.54.7.129,174,154.54.44.169,0.09000000000000341
174,154.54.44.169,174,154.54.31.89,0.2300000000000182
174,154.54.31.89,174,154.54.42.97,0.25
174,154.54.42.97,174,154.54.44.141,0.5
174,154.54.44.141,174,154.54.43.14,127.20000000000002
174,154.54.43.14,174,154.54.86.138,127.58000000000001
174,154.54.86.138,174,154.18.0.2,0.9299999999999784
174,154.18.0.2,2519,163.139.130.218,0.3199999999999932
2519,163.139.130.218,2519,222.230.187.198,2.240000000000009
2519,-9,4694,202.218.128.200,2.7900000000000205
-5,202.218.128.200,6453,116.0.67.37,36.0
6453,116.0.67.37,6453,180.87.112.150,0.0
6453,180.87.112.150,2497,58.138.98.106,1.0
2497,58.138.98.106,2497,58.138.80.234,7.0
2497,58.138.80.234,2497,58.138.99.70,8.0
2497,58.138.99.70,2497,58.138.81.173,52.0
2497,58.138.81.173,2497,58.138.101.38,0.0
2497,58.138.101.38,2497,58.138.101.34,6.0
2497,58.138.101.34,2497,210.130.134.118,0.0
2497,210.130.134.118,2519,163.139.130.218,5.0
2519,163.139.130.218,2519,222.230.187.198,0.0
2519,-9,4694,202.218.128.200,9.0
-1,0,-100,172.22.96.1,0.58
-100,172.22.96.1,-100,192.168.1.1,3.13
-100,192.168.1.1,-100,192.168.41.1,0.1499999999999999
-100,192.168.41.1,-100,192.168.8.19,0.10000000000000009
-100,192.168.8.19,59193,103.232.241.2,1.3900000000000006
59193,103.232.241.2,-100,10.119.254.121,0.8999999999999995
-100,10.119.254.121,-100,10.160.24.5,1.5200000000000005
-100,10.160.24.5,-100,10.255.221.33,0.75
-100,10.255.221.33,55836,115.247.100.29,0.1800000000000006
55836,115.247.100.29,20860,130.180.202.49,133.31
20860,130.180.202.49,20860,130.180.202.57,3.170000000000016
20860,130.180.202.57,35425,91.223.58.33,1.259999999999991
35425,-10,35425,5.28.62.178,8.180000000000007
-2,5.28.62.178,2914,129.250.2.151,1.0
2914,129.250.2.151,6461,64.125.14.105,0.0
6461,64.125.14.105,6461,64.125.28.3,7.0
6461,64.125.28.3,20860,62.128.218.1,0.0
20860,62.128.218.1,20860,130.180.202.49,0.0
20860,130.180.202.49,20860,130.180.202.57,4.0
20860,130.180.202.57,35425,91.223.58.33,0.0
35425,-10,35425,5.28.62.178,0.0
-3,5.28.62.178,-100,192.168.213.90,16.33
-100,192.168.213.90,-100,192.168.36.15,463.33000000000004
-100,192.168.36.15,-100,192.168.34.177,335.66
-100,192.168.34.177,-100,192.168.48.4,113.67
-100,192.168.48.4,-100,192.168.48.2,407.67
-100,192.168.48.2,-100,192.168.48.33,269.34000000000003
-100,192.168.48.33,9498,125.18.92.93,254.67
9498,125.18.92.93,9498,116.119.119.186,11.669999999999959
9498,116.119.119.186,-100,195.66.224.207,500.34
-100,195.66.224.207,20860,130.180.202.49,205.0
20860,130.180.202.49,20860,130.180.202.57,382.67
20860,130.180.202.57,35425,91.223.58.33,311.33
35425,-10,35425,5.28.62.178,252.99999999999994
-4,5.28.62.178,36236,199.38.181.1,2.99
36236,199.38.181.1,174,154.54.81.201,2.0100000000000002
174,154.54.81.201,174,154.54.80.1,0.15999999999999992
174,154.54.80.1,174,154.54.42.86,67.74
174,154.54.42.86,174,154.54.58.186,2.3100000000000023
174,154.54.58.186,174,149.11.143.66,0.0799999999999983
174,149.11.143.66,20860,130.180.202.49,1.5699999999999932
20860,130.180.202.49,20860,130.180.202.57,6.36999999999999
20860,130.180.202.57,35425,91.223.58.33,0.9899999999999949
35425,-10,35425,5.28.62.178,0.030000000000001137
-5,5.28.62.178,6453,116.0.79.129,136.0
6453,116.0.79.129,6453,180.87.181.92,7.0
6453,180.87.181.92,6453,180.87.181.27,101.0
6453,180.87.181.27,6453,180.87.180.1,97.0
6453,180.87.180.1,6453,180.87.181.73,97.0
6453,180.87.181.73,6453,120.29.211.2,1.0
6453,120.29.211.2,6453,209.58.86.200,96.0
6453,209.58.86.200,6453,209.58.86.144,7.0
6453,209.58.86.144,6453,209.58.86.200,5.0
6453,209.58.86.200,6453,209.58.86.37,8.0
6453,209.58.86.37,6453,63.243.205.130,8.0
6453,63.243.205.130,174,154.54.12.141,3.0
174,154.54.12.141,174,154.54.43.9,7.0
174,154.54.43.9,-100,msec,5.0
-100,msec,174,154.54.44.142,14.0
174,154.54.44.142,174,154.54.41.146,13.0
174,154.54.41.146,174,154.54.5.90,37.0
174,154.54.5.90,-100,msec,6.0
-100,msec,174,154.54.44.170,4.0
174,154.54.44.170,174,154.54.42.166,3.0
174,154.54.42.166,174,154.54.7.130,6.0
174,154.54.7.130,-100,msec,5.0
-100,msec,174,154.54.29.174,5.0
174,154.54.29.174,174,154.54.0.222,1.0
174,154.54.0.222,174,66.28.4.238,5.0
174,66.28.4.238,174,154.54.82.33,87.0
174,154.54.82.33,174,154.54.82.37,27.0
174,154.54.82.37,174,154.54.58.186,6.0
174,154.54.58.186,174,149.11.143.66,13.0
174,149.11.143.66,20860,130.180.202.49,16.0
20860,130.180.202.49,20860,130.180.202.57,0.0
20860,130.180.202.57,35425,91.223.58.33,7.0
35425,-10,35425,5.28.62.178,15.0
-1,0,-100,172.22.96.1,0.5
-100,172.22.96.1,-100,192.168.1.1,2.86
-100,192.168.1.1,-100,192.168.41.1,0.20999999999999996
-100,192.168.41.1,-100,192.168.8.19,0.08000000000000007
-100,192.168.8.19,59193,103.232.241.2,0.1200000000000001
59193,103.232.241.2,-100,10.119.254.121,0.16999999999999993
-100,10.119.254.121,-100,10.160.24.5,2.06
-100,10.160.24.5,-100,10.255.222.33,0.8300000000000001
-100,10.255.222.33,55836,115.247.100.29,0.5700000000000003
55836,115.247.100.29,64049,49.45.4.82,44.15
64049,49.45.4.82,64049,49.45.4.82,0.23000000000000398
64049,49.45.4.82,3356,4.68.73.145,4.329999999999998
3356,4.68.73.145,3356,4.69.217.18,61.68000000000001
3356,4.69.217.18,3549,113.29.1.138,1.6499999999999915
3549,113.29.1.138,2519,163.139.130.222,0.980000000000004
2519,163.139.130.222,2519,222.230.187.206,134.18
2519,222.230.187.206,131965,103.3.0.5,7.490000000000009
131965,103.3.0.5,131965,103.3.0.23,19.269999999999982
131965,103.3.0.23,131965,103.3.0.35,19.299999999999983
131965,-11,131965,120.136.14.37,10.070000000000022
-2,120.136.14.37,174,130.117.254.73,0.66
174,130.117.254.73,174,130.117.49.78,0.42000000000000004
174,130.117.49.78,174,154.54.72.110,10.35
174,154.54.72.110,174,154.54.6.26,168.63
174,154.54.6.26,174,154.54.89.201,48.99000000000001
174,154.54.89.201,174,154.54.89.197,21.639999999999986
174,154.54.89.197,174,154.18.0.2,21.069999999999993
174,154.18.0.2,174,154.18.0.2,7.6699999999999875
174,154.18.0.2,2519,222.230.187.206,6.139999999999986
2519,222.230.187.206,2519,222.230.187.206,8.590000000000003
2519,222.230.187.206,131965,103.3.0.5,7.159999999999997
131965,-11,131965,103.3.0.23,0.6800000000000068
-3,103.3.0.23,-100,192.168.213.90,206.0
-100,192.168.213.90,-100,192.168.36.15,162.0
-100,192.168.36.15,-100,192.168.34.181,180.0
-100,192.168.34.181,-100,192.168.48.2,47.0
-100,192.168.48.2,-100,192.168.48.49,1.6599999999999966
-100,192.168.48.49,9498,182.79.27.25,20.00000000000003
9498,182.79.27.25,9498,116.119.57.158,41.660000000000025
9498,116.119.57.158,3356,4.68.70.113,55.0
3356,4.68.70.113,3549,113.29.1.138,231.66000000000003
3549,113.29.1.138,2519,163.139.130.222,147.66000000000003
2519,163.139.130.222,2519,222.230.187.206,138.0
2519,222.230.187.206,131965,103.3.0.5,17.670000000000016
131965,103.3.0.5,131965,103.3.0.23,54.670000000000016
131965,103.3.0.23,131965,103.3.0.33,123.33999999999997
131965,-11,131965,120.136.14.37,50.339999999999975
-4,120.136.14.37,36236,199.38.181.1,14.92
36236,199.38.181.1,2914,129.250.3.50,13.9
2914,129.250.3.50,2914,129.250.6.177,60.63999999999999
2914,129.250.6.177,2914,129.250.4.143,104.03
2914,129.250.4.143,2914,129.250.5.7,2.210000000000008
2914,129.250.5.7,2914,120.88.53.30,0.020000000000010232
2914,120.88.53.30,4713,122.1.245.70,1.2700000000000102
4713,122.1.245.70,4713,210.232.233.254,4.310000000000002
4713,210.232.233.254,131965,103.3.0.3,3.8899999999999864
131965,103.3.0.3,131965,103.3.0.21,12.819999999999993
131965,103.3.0.21,131965,103.3.0.35,12.560000000000002
131965,-11,131965,120.136.14.37,0.9199999999999875
-5,120.136.14.37,6453,116.0.67.37,36.0
6453,116.0.67.37,6453,180.87.112.150,0.0
6453,180.87.112.150,2497,58.138.81.137,52.0
2497,58.138.81.137,2497,58.138.106.154,2.0
2497,58.138.106.154,2497,58.138.106.186,7.0
2497,58.138.106.186,2497,210.130.133.166,49.0
2497,210.130.133.166,2519,163.139.136.67,57.0
2519,163.139.136.67,2519,163.139.136.69,3.0
2519,163.139.136.69,2519,163.139.136.67,3.0
2519,163.139.136.67,2519,222.230.187.150,6.0
2519,222.230.187.150,131965,103.3.0.23,17.0
131965,-11,-100,msec,18.0
-1,0,-100,192.168.1.1,2.33
-100,192.168.1.1,-100,192.168.41.1,2.0
-100,192.168.41.1,-100,192.168.8.18,2.67
-100,192.168.8.18,59193,103.232.241.2,2.0
59193,103.232.241.2,-100,10.119.254.121,1.0
-100,10.119.254.121,-100,10.160.24.5,18.33
-100,10.160.24.5,-100,10.255.232.201,89.33
-100,10.255.232.201,55824,180.149.48.18,31.33
55824,180.149.48.18,55824,180.149.48.2,83.67
55824,180.149.48.2,55824,180.149.48.13,122.0
55824,180.149.48.13,11537,163.253.1.41,37.34
11537,163.253.1.41,11537,163.253.1.241,1.3400000000000034
11537,163.253.1.241,-100,163.253.5.33,21.660000000000025
-100,163.253.5.33,14877,162.223.17.79,71.33999999999997
14877,162.223.17.79,9,128.2.0.181,77.33999999999997
9,128.2.0.181,9,128.2.0.210,4.330000000000041
9,-12,9,128.2.42.52,0.0
-2,128.2.42.52,2914,129.250.2.107,4.0
2914,129.250.2.107,174,154.54.38.65,2.0
174,154.54.38.65,174,154.54.57.69,11.0
174,154.54.57.69,174,154.54.82.38,62.0
174,154.54.82.38,174,66.28.4.237,4.0
174,66.28.4.237,174,154.54.26.129,17.0
174,154.54.26.129,174,154.54.83.118,3.0
174,154.54.83.118,174,154.24.79.74,2.0
174,154.24.79.74,174,38.140.44.154,1.0
174,38.140.44.154,9,128.2.255.177,0.0
9,128.2.255.177,9,128.2.255.202,1.0
9,-12,9,128.2.42.10,0.0
-3,128.2.42.10,-100,192.168.213.90,6.66
-100,192.168.213.90,-100,192.168.36.15,209.67000000000002
-100,192.168.36.15,-100,192.168.34.177,225.99999999999997
-100,192.168.34.177,-100,192.168.48.9,235.67
-100,192.168.48.9,-100,192.168.48.2,45.66
-100,192.168.48.2,-100,192.168.48.33,66.0
-100,192.168.48.33,9498,125.18.92.93,99.0
9498,125.18.92.93,9498,116.119.57.43,281.66
9498,116.119.57.43,2381,216.56.50.86,29.66999999999996
2381,216.56.50.86,,100.121.0.33,117.66999999999996
,100.121.0.33,9,128.2.255.181,116.66999999999996
9,128.2.255.181,9,128.2.255.202,42.33000000000004
9,-12,9,128.2.42.10,85.33000000000004
-4,128.2.42.10,36236,199.38.181.1,12.28
36236,199.38.181.1,11537,163.253.2.150,6.9399999999999995
11537,163.253.2.150,11537,163.253.1.241,0.9100000000000001
11537,163.253.1.241,11164,198.71.47.209,3.95
11164,198.71.47.209,,100.121.0.33,13.64
,100.121.0.33,9,128.2.0.181,0.11000000000000121
9,128.2.0.181,9,128.2.0.210,88.78
9,-12,9,128.2.42.10,88.4
-5,128.2.42.10,6453,116.0.79.129,148.0
6453,116.0.79.129,6453,180.87.181.207,6.0
6453,180.87.181.207,6453,180.87.3.131,8.0
6453,180.87.3.131,6453,64.86.252.66,2.0
6453,64.86.252.66,-100,msec,8.0
-100,msec,-100,140.222.116.69,40.0
-100,140.222.116.69,2828,66.3.25.94,5.0
2828,66.3.25.94,9,128.2.255.181,1.0
9,128.2.255.181,9,128.2.255.210,19.0
9,-12,9,128.2.42.52,4.0
-1,0,-100,172.22.96.1,0.31
-100,172.22.96.1,-100,192.168.0.1,1.88
-100,192.168.0.1,-100,192.168.41.1,5.210000000000001
-100,192.168.41.1,-100,192.168.8.19,4.58
-100,192.168.8.19,59193,103.232.241.2,21.6
59193,103.232.241.2,-100,10.119.254.121,9.580000000000002
-100,10.119.254.121,-100,10.160.24.5,10.55
-100,10.160.24.5,-100,10.255.221.33,8.269999999999996
-100,10.255.221.33,55836,115.247.100.29,25.489999999999995
55836,115.247.100.29,13335,162.158.226.122,115.73
13335,162.158.226.122,13335,172.70.216.5,18.63000000000001
13335,-13,13335,162.159.136.232,2.0799999999999983
-2,162.159.136.232,2914,129.250.4.145,1.0
2914,129.250.4.145,2914,185.84.18.174,1.0
2914,185.84.18.174,13335,141.101.67.52,1.0
13335,141.101.67.52,13335,172.71.120.2,1.0
13335,-13,13335,162.159.136.232,1.0
-3,162.159.136.232,-100,192.168.213.90,103.33
-100,192.168.213.90,-100,192.168.36.15,238.33000000000004
-100,192.168.36.15,-100,192.168.34.181,149.66000000000003
-100,192.168.34.181,-100,192.168.48.4,23.669999999999987
-100,192.168.48.4,-100,192.168.48.2,112.67000000000002
-100,192.168.48.2,-100,192.168.48.49,116.0
-100,192.168.48.49,9498,182.79.27.25,25.329999999999984
9498,182.79.27.25,9498,116.119.50.160,74.32999999999998
9498,116.119.50.160,9498,182.79.161.171,0.0
9498,182.79.161.171,13335,162.158.52.19,13.329999999999984
13335,-13,13335,162.159.128.233,76.33000000000001
-4,162.159.128.233,36236,199.38.181.1,13.63
36236,199.38.181.1,13335,172.70.112.4,3.1899999999999995
13335,-13,13335,162.159.135.232,15.74
-5,162.159.135.232,6453,116.0.67.37,114.0
6453,116.0.67.37,6453,116.0.93.138,10.0
6453,116.0.93.138,6453,116.0.93.144,1.0
6453,116.0.93.144,6453,180.87.37.64,3.0
6453,180.87.37.64,6453,180.87.37.54,6.0
6453,180.87.37.54,6453,180.87.37.64,9.0
6453,180.87.37.64,6453,180.87.37.54,11.0
6453,180.87.37.54,6453,180.87.37.54,5.0
6453,180.87.37.54,-100,msec,5.0
-100,msec,-100,172.28.175.42,7.0
-100,172.28.175.42,-100,msec,6.0
-100,msec,4755,115.112.8.94,5.0
4755,115.112.8.94,13335,162.158.52.19,5.0
13335,162.158.52.19,13335,162.159.135.232,1.0
13335,162.159.135.232,13335,162.158.52.19,3.0
13335,-13,13335,162.159.135.232,4.0
-1,0,-100,172.22.96.1,0.39
