Source - AS,Target - AS,RTTD
-100,-100,95.00000000000003
-100,9498,115.0
9498,9498,46.67
9498,1299,366.0
1299,1299,18.0
1299,6830,31.66999999999996
6830,6830,172.66000000000003
6830,6830,553.0
6830,5089,430.0
5089,5089,479.33000000000004
5089,-7,416.33000000000004
-4,-100,22.02
-100,-100,21.03
-100,-100,4.0
-100,-100,81.84
-100,-100,0.1700000000000017
-100,-100,262.28999999999996
-100,-100,6.050000000000011
-100,-7,260.83
-5,6453,271.0
6453,6453,4.0
6453,6453,235.0
6453,6453,222.0
6453,6453,221.0
6453,6453,1.0
6453,6453,239.0
6453,6453,18.0
6453,6453,23.0
6453,6453,1.0
6453,6453,2.0
6453,6453,1.0
6453,-7,10.0
-1,-100,0.43
-100,-100,7.38
-100,-100,4.069999999999999
-100,-100,1.7400000000000002
-100,59193,0.8700000000000001
59193,-100,0.33000000000000007
-100,-100,18.38
-100,-100,1.9299999999999997
-100,55824,0.08000000000000185
55824,55824,140.51
55824,55824,23.700000000000017
55824,20965,1.7900000000000205
20965,20965,2.25
20965,20965,1.0699999999999932
20965,20965,1.6499999999999773
20965,20965,0.45000000000001705
20965,786,5.189999999999998
786,786,40.110000000000014
786,786,39.91
786,786,0.17000000000001592
786,786,2.490000000000009
786,786,14.139999999999986
786,786,16.069999999999993
786,786,1.1400000000000148
786,-8,0.5999999999999943
-2,2914,1.0
2914,2914,4.0
2914,3356,1.0
3356,3356,6.0
3356,786,20.0
786,786,21.0
786,786,19.0
786,786,17.0
786,786,2.0
786,786,38.0
786,786,36.0
786,786,1.0
786,-8,0.0
-3,-100,15.66
-100,-100,178.34
-100,-100,116.34
-100,-100,2.0
-100,-100,20.659999999999997
-100,-100,2.0
-100,9498,5.0
9498,6461,133.0
6461,6461,5.0
6461,6461,42.0
6461,6461,24.660000000000025
6461,-100,63.660000000000025
-100,786,24.659999999999997
786,786,32.0
786,786,159.00000000000003
786,786,140.66000000000003
786,786,35.66
786,786,55.00000000000003
786,786,1.0
786,786,58.00000000000003
786,786,69.34
786,786,181.66000000000003
786,-8,135.0
-4,-100,12.58
-100,-100,7.69
-100,-100,63.31
-100,-100,2.0600000000000023
-100,-100,1.8599999999999994
-100,-100,3.280000000000001
-100,-100,1.9599999999999937
-100,-100,0.20000000000000284
-100,-100,0.23000000000000398
-100,-100,1.9500000000000028
-100,-100,0.7000000000000028
-100,-100,0.6599999999999966
-100,-100,0.4100000000000108
-100,-100,0.030000000000001137
-100,-8,1.8299999999999983
-5,6453,148.0
6453,6453,1.0
6453,786,125.0
786,786,9.0
786,786,2.0
786,786,3.0
786,786,1.0
786,786,3.0
786,786,5.0
786,-8,5.0
-1,-100,0.39
-100,-100,3.8799999999999994
-100,-100,2.5700000000000003
-100,59193,3.3699999999999997
59193,-100,52.59
-100,-100,51.18
-100,-100,1.2599999999999998
-100,55836,52.83
55836,3356,57.18000000000001
3356,3356,0.6700000000000017
3356,2519,2.3699999999999903
2519,2519,4.739999999999995
2519,-9,99.32000000000001
-2,2914,91.0
2914,2914,57.0
2914,2914,7.0
2914,2914,0.0
2914,2497,95.0
2497,2497,8.0
2497,2497,7.0
2497,2519,4.0
2519,2519,9.0
2519,-9,5.0
-3,-100,58.33
-100,-100,143.67000000000002
-100,-100,49.0
-100,-100,31.0
-100,-100,11.0
-100,-100,41.34
-100,9498,9.0
9498,9498,17.340000000000003
9498,3356,94.34
3356,3356,289.66999999999996
3356,3549,26.66999999999996
3549,2519,157.00000000000003
2519,2519,98.00000000000003
2519,-9,7.669999999999959
-4,-100,111.28
-100,-100,110.09
-100,-100,0.08999999999999986
-100,-100,171.31
-100,-100,0.020000000000010232
-100,-100,0.09000000000000341
-100,-100,0.2300000000000182
-100,-100,0.25
-100,-100,0.5
-100,-100,127.20000000000002
-100,-100,127.58000000000001
-100,-100,0.9299999999999784
-100,-100,0.3199999999999932
-100,-100,2.240000000000009
-100,-9,2.7900000000000205
-5,6453,36.0
6453,6453,0.0
6453,2497,1.0
2497,2497,7.0
2497,2497,8.0
2497,2497,52.0
2497,2497,0.0
2497,2497,6.0
2497,2497,0.0
2497,2519,5.0
2519,2519,0.0
2519,-9,9.0
-1,-100,0.58
-100,-100,3.13
-100,-100,0.1499999999999999
-100,-100,0.10000000000000009
-100,59193,1.3900000000000006
59193,-100,0.8999999999999995
-100,-100,1.5200000000000005
-100,-100,0.75
-100,55836,0.1800000000000006
55836,20860,133.31
20860,20860,3.170000000000016
20860,35425,1.259999999999991
35425,-10,8.180000000000007
-2,2914,1.0
2914,6461,0.0
6461,6461,7.0
6461,20860,0.0
20860,20860,0.0
20860,20860,4.0
20860,35425,0.0
35425,-10,0.0
-3,-100,16.33
-100,-100,463.33000000000004
-100,-100,335.66
-100,-100,113.67
-100,-100,407.67
-100,-100,269.34000000000003
-100,9498,254.67
9498,9498,11.669999999999959
9498,-100,500.34
-100,20860,205.0
20860,20860,382.67
20860,35425,311.33
35425,-10,252.99999999999994
-4,-100,2.99
-100,-100,2.0100000000000002
-100,-100,0.15999999999999992
-100,-100,67.74
-100,-100,2.3100000000000023
-100,-100,0.0799999999999983
-100,-100,1.5699999999999932
-100,-100,6.36999999999999
-100,-100,0.9899999999999949
-100,-10,0.030000000000001137
-5,6453,136.0
6453,6453,7.0
6453,6453,101.0
6453,6453,97.0
6453,6453,97.0
6453,6453,1.0
6453,6453,96.0
6453,6453,7.0
6453,6453,5.0
6453,6453,8.0
6453,6453,8.0
6453,174,3.0
174,174,7.0
174,-100,5.0
-100,174,14.0
174,174,13.0
174,174,37.0
174,-100,6.0
-100,174,4.0
174,174,3.0
174,174,6.0
174,-100,5.0
-100,174,5.0
174,174,1.0
174,174,5.0
174,174,87.0
174,174,27.0
174,174,6.0
174,174,13.0
174,20860,16.0
20860,20860,0.0
20860,35425,7.0
35425,-10,15.0
-1,-100,0.5
-100,-100,2.86
-100,-100,0.20999999999999996
-100,-100,0.08000000000000007
-100,59193,0.1200000000000001
59193,-100,0.16999999999999993
-100,-100,2.06
-100,-100,0.8300000000000001
-100,55836,0.5700000000000003
55836,64049,44.15
64049,64049,0.23000000000000398
64049,3356,4.329999999999998
3356,3356,61.68000000000001
3356,3549,1.6499999999999915
3549,2519,0.980000000000004
2519,2519,134.18
2519,131965,7.490000000000009
131965,131965,19.269999999999982
131965,131965,19.299999999999983
131965,-11,10.070000000000022
-2,174,0.66
174,174,0.42000000000000004
174,174,10.35
174,174,168.63
174,174,48.99000000000001
174,174,21.639999999999986
174,174,21.069999999999993
174,174,7.6699999999999875
174,2519,6.139999999999986
2519,2519,8.590000000000003
2519,131965,7.159999999999997
131965,-11,0.6800000000000068
-3,-100,206.0
-100,-100,162.0
-100,-100,180.0
-100,-100,47.0
-100,-100,1.6599999999999966
-100,9498,20.00000000000003
9498,9498,41.660000000000025
9498,3356,55.0
3356,3549,231.66000000000003
3549,2519,147.66000000000003
2519,2519,138.0
2519,131965,17.670000000000016
131965,131965,54.670000000000016
131965,131965,123.33999999999997
131965,-11,50.339999999999975
-4,-100,14.92
-100,-100,13.9
-100,-100,60.63999999999999
-100,-100,104.03
-100,-100,2.210000000000008
-100,-100,0.020000000000010232
-100,-100,1.2700000000000102
-100,-100,4.310000000000002
-100,-100,3.8899999999999864
-100,-100,12.819999999999993
-100,-100,12.560000000000002
-100,-11,0.9199999999999875
-5,6453,36.0
6453,6453,0.0
6453,2497,52.0
2497,2497,2.0
2497,2497,7.0
2497,2497,49.0
2497,2519,57.0
2519,2519,3.0
2519,2519,3.0
2519,2519,6.0
2519,131965,17.0
131965,-11,18.0
-1,-100,2.33
-100,-100,2.0
-100,-100,2.67
-100,59193,2.0
59193,-100,1.0
-100,-100,18.33
-100,-100,89.33
-100,55824,31.33
55824,55824,83.67
55824,55824,122.0
55824,11537,37.34
11537,11537,1.3400000000000034
11537,-100,21.660000000000025
-100,14877,71.33999999999997
14877,9,77.33999999999997
9,9,4.330000000000041
9,-12,0.0
-2,2914,4.0
2914,174,2.0
174,174,11.0
174,174,62.0
174,174,4.0
174,174,17.0
174,174,3.0
174,174,2.0
174,174,1.0
174,9,0.0
9,9,1.0
9,-12,0.0
-3,-100,6.66
-100,-100,209.67000000000002
-100,-100,225.99999999999997
-100,-100,235.67
-100,-100,45.66
-100,-100,66.0
-100,9498,99.0
9498,9498,281.66
9498,2381,29.66999999999996
2381,None,117.66999999999996
None,9,116.66999999999996
9,9,42.33000000000004
9,-12,85.33000000000004
-4,-100,12.28
-100,-100,6.9399999999999995
-100,-100,0.9100000000000001
-100,-100,3.95
-100,-100,13.64
-100,-100,0.11000000000000121
-100,-100,88.78
-100,-12,88.4
-5,6453,148.0
6453,6453,6.0
6453,6453,8.0
6453,6453,2.0
6453,-100,8.0
-100,-100,40.0
-100,2828,5.0
2828,9,1.0
9,9,19.0
9,-12,4.0
-1,-100,0.31
-100,-100,1.88
-100,-100,5.210000000000001
-100,-100,4.58
-100,59193,21.6
59193,-100,9.580000000000002
-100,-100,10.55
-100,-100,8.269999999999996
-100,55836,25.489999999999995
55836,13335,115.73
13335,13335,18.63000000000001
13335,-13,2.0799999999999983
-2,2914,1.0
2914,2914,1.0
2914,13335,1.0
13335,13335,1.0
13335,-13,1.0
-3,-100,103.33
-100,-100,238.33000000000004
-100,-100,149.66000000000003
-100,-100,23.669999999999987
-100,-100,112.67000000000002
-100,-100,116.0
-100,9498,25.329999999999984
9498,9498,74.32999999999998
9498,9498,0.0
9498,13335,13.329999999999984
13335,-13,76.33000000000001
-4,-100,13.63
-100,-100,3.1899999999999995
-100,-13,15.74
-5,6453,114.0
6453,6453,10.0
6453,6453,1.0
6453,6453,3.0
6453,6453,6.0
6453,6453,9.0
6453,6453,11.0
6453,6453,5.0
6453,-100,5.0
-100,-100,7.0
-100,-100,6.0
-100,4755,5.0
4755,13335,5.0
13335,13335,1.0
13335,13335,3.0
13335,-13,4.0
-1,-100,0.39
-100,-100,1.8899999999999997
-100,-100,15.92
-100,-100,13.36
-100,59193,1.6099999999999999
59193,-100,0.4900000000000002
-100,-100,3.2399999999999998
-100,-100,1.5599999999999996
-100,55836,20.259999999999998
55836,2914,246.48999999999998
2914,2914,25.829999999999984
2914,2914,23.48999999999998
2914,2914,5.939999999999998
2914,2914,4.0
2914,-14,0.6700000000000159
-2,2914,2.0
2914,2914,1.0
2914,2914,85.0
2914,2914,4.0
2914,2914,8.0
2914,-14,1.0
-3,-100,31.0
-100,-100,197.33
-100,-100,34.33000000000001
-100,-100,69.0
-100,-100,61.66
-100,-100,71.66
-100,9498,15.340000000000003
9498,-100,85.67000000000002
-100,2914,66.66999999999999
2914,2914,16.660000000000025
2914,2914,142.66999999999996
2914,2914,52.0
2914,2914,33.0
2914,-14,74.0
-4,-100,140.88
-100,-100,139.82999999999998
-100,-100,6.84
-100,-100,2.04
-100,-100,0.08000000000000007
-100,-14,0.009999999999999787
-5,6453,150.0
6453,6453,0.0
6453,6453,5.0
6453,6453,3.0
6453,6453,1.0
6453,-100,1.0
-100,7922,1.0
7922,7922,5.0
7922,7922,6.0
7922,7922,3.0
7922,7922,8.0
7922,7922,25.0
7922,-100,4.0
-100,7922,4.0
7922,7922,3.0
7922,7922,0.0
7922,7922,5.0
7922,7922,34.0
7922,7922,0.0
7922,7922,2.0
7922,7922,9.0
7922,-100,1.0
-100,7922,10.0
7922,7922,5.0
7922,7922,2.0
7922,7922,4.0
7922,7922,8.0
7922,7922,9.0
7922,7922,7.0
7922,7922,5.0
7922,7922,3.0
7922,7922,1.0
7922,7922,2.0
7922,7922,3.0
7922,7922,3.0
7922,7922,0.0
7922,7922,2.0
7922,7922,7.0
7922,-14,5.0
-1,-100,2.0
-100,-100,1.0
-100,-100,0.6699999999999999
-100,59193,0.33000000000000007
59193,-100,0.33000000000000007
-100,-100,25.67
-100,-100,20.659999999999997
-100,55824,20.33
55824,55824,141.32999999999998
55824,55824,0.3299999999999841
55824,55824,84.32999999999998
55824,-100,2.0
-100,-100,0.3400000000000034
-100,14,13.0
14,14,12.669999999999987
14,-15,0.6700000000000159
-2,2914,1.0
2914,2914,0.0
2914,174,34.0
174,174,38.0
174,174,1.0
174,174,0.0
174,14,1.0
14,14,101.0
14,-15,101.0
-3,-100,166.33
-100,-100,91.99999999999997
-100,-100,90.66999999999999
-100,-100,76.33
-100,-100,50.67
-100,-100,71.0
-100,9498,71.66
9498,9498,275.66999999999996
9498,174,31.670000000000016
174,174,25.0
174,174,88.0
174,174,6.339999999999975
174,174,126.66999999999996
174,174,19.66999999999996
174,174,45.0
174,174,116.33999999999997
174,174,97.33999999999997
174,14,72.99999999999994
14,14,0.32999999999992724
14,-15,75.00000000000006
-4,-100,21.78
-100,-100,20.75
-100,-100,0.08000000000000007
-100,-100,0.08000000000000007
-100,-100,5.27
-100,-100,5.14
-100,-100,0.1100000000000001
-100,-15,0.21999999999999997
-5,6453,38.0
6453,6453,98.0
6453,6453,92.0
6453,6453,7.0
6453,6453,5.0
6453,6453,3.0
6453,6453,98.0
6453,174,2.0
174,174,1.0
174,174,19.0
174,174,2.0
174,174,50.0
174,174,10.0
174,174,1.0
174,174,0.0
174,174,0.0
174,174,2.0
174,14,1.0
14,14,4.0
14,-15,1.0
